turn,model_used,tokens_used,input_complexity,cumulative_cost
1,small_mistral,150,low,0.00015
2,small_mistral,150,low,0.00015
2,small_mistral,150,low,0.00015
2,small_mistral,150,low,0.00015
1,small_mistral,120,low,0.00012
2,medium_mistral,350,medium,0.00062
3,large_mistral,850,high,0.00212
1,mistral-small-latest,6,medium,1.2000000000000002e-06
2,mistral-small-latest,8,medium,2.8000000000000003e-06
3,mistral-small-latest,10,medium,4.800000000000001e-06
4,mistral-small-latest,18,medium,8.400000000000001e-06
1,mistral-small-latest,6,medium,1.2000000000000002e-06
2,mistral-small-latest,8,medium,2.8000000000000003e-06
3,mistral-small-latest,10,medium,4.800000000000001e-06
4,mistral-small-latest,18,medium,8.400000000000001e-06
1,mistral-small-latest,6,medium,1.2000000000000002e-06
2,mistral-small-latest,8,medium,2.8000000000000003e-06
3,mistral-small-latest,10,medium,4.800000000000001e-06
4,mistral-small-latest,18,medium,8.400000000000001e-06
1,mistral-small-latest,6,medium,1.2000000000000002e-06
1,mistral-small-latest,12,medium,2.4000000000000003e-06
1,mistral-small-latest,6,medium,1.2000000000000002e-06
1,mistral-small-latest,6,medium,1.2000000000000002e-06
1,mistral-small-latest,6,medium,1.2000000000000002e-06
1,mistral-small-latest,6,medium,1.2000000000000002e-06
1,mistral-small-latest,6,medium,1.2000000000000002e-06
